fc_dim: 64, eps_dec: 2e-05, lr: 0.00056, avg_score: -100.01, done: False, time: 126.41, episodes: 252
fc_dim: 64, eps_dec: 2e-05, lr: 0.00057, avg_score: -159.64, done: False, time: 25.32, episodes: 51
fc_dim: 64, eps_dec: 2e-05, lr: 0.00058, avg_score: -71.88, done: False, time: 170.21, episodes: 258
fc_dim: 64, eps_dec: 2e-05, lr: 0.00059, avg_score: -60.22, done: False, time: 191.90, episodes: 275
fc_dim: 64, eps_dec: 2e-05, lr: 0.00060, avg_score: -183.62, done: False, time: 17.98, episodes: 30
fc_dim: 64, eps_dec: 2e-05, lr: 0.00061, avg_score: -160.35, done: False, time: 29.86, episodes: 63
fc_dim: 64, eps_dec: 2e-05, lr: 0.00062, avg_score: -64.73, done: False, time: 166.50, episodes: 262
fc_dim: 64, eps_dec: 2e-05, lr: 0.00063, avg_score: -112.58, done: False, time: 78.20, episodes: 160
fc_dim: 64, eps_dec: 2e-05, lr: 0.00064, avg_score: -108.37, done: False, time: 87.64, episodes: 178
fc_dim: 64, eps_dec: 2e-05, lr: 0.00065, avg_score: -143.52, done: False, time: 65.29, episodes: 141
fc_dim: 64, eps_dec: 2e-05, lr: 0.00066, avg_score: -91.26, done: False, time: 94.39, episodes: 192
fc_dim: 64, eps_dec: 2e-05, lr: 0.00067, avg_score: -125.02, done: False, time: 67.25, episodes: 144
fc_dim: 64, eps_dec: 2e-05, lr: 0.00068, avg_score: -65.10, done: False, time: 139.47, episodes: 250
fc_dim: 64, eps_dec: 2e-05, lr: 0.00069, avg_score: -60.63, done: False, time: 135.80, episodes: 252
fc_dim: 64, eps_dec: 2e-05, lr: 0.00070, avg_score: -88.73, done: False, time: 100.87, episodes: 208
fc_dim: 64, eps_dec: 2e-05, lr: 0.00071, avg_score: -89.52, done: False, time: 118.14, episodes: 240
fc_dim: 64, eps_dec: 2e-05, lr: 0.00072, avg_score: -71.35, done: False, time: 117.54, episodes: 215
fc_dim: 64, eps_dec: 2e-05, lr: 0.00073, avg_score: -29.27, done: False, time: 172.95, episodes: 297
fc_dim: 64, eps_dec: 2e-05, lr: 0.00074, avg_score: -76.28, done: False, time: 209.74, episodes: 305
fc_dim: 64, eps_dec: 2e-05, lr: 0.00075, avg_score: -161.90, done: False, time: 33.46, episodes: 73
fc_dim: 64, eps_dec: 2e-05, lr: 0.00076, avg_score: -71.41, done: False, time: 129.37, episodes: 250
fc_dim: 64, eps_dec: 2e-05, lr: 0.00077, avg_score: -147.43, done: False, time: 56.00, episodes: 125
fc_dim: 64, eps_dec: 2e-05, lr: 0.00078, avg_score: -82.97, done: False, time: 106.82, episodes: 224
fc_dim: 64, eps_dec: 2e-05, lr: 0.00079, avg_score: -142.77, done: False, time: 55.52, episodes: 124
fc_dim: 64, eps_dec: 2e-05, lr: 0.00080, avg_score: -70.91, done: False, time: 134.90, episodes: 247
fc_dim: 64, eps_dec: 2e-05, lr: 0.00081, avg_score: -90.48, done: False, time: 89.16, episodes: 190
fc_dim: 64, eps_dec: 2e-05, lr: 0.00082, avg_score: -58.23, done: False, time: 147.54, episodes: 266
fc_dim: 64, eps_dec: 2e-05, lr: 0.00083, avg_score: -88.83, done: False, time: 104.37, episodes: 207
fc_dim: 64, eps_dec: 2e-05, lr: 0.00084, avg_score: -145.76, done: False, time: 49.61, episodes: 109
fc_dim: 64, eps_dec: 2e-05, lr: 0.00085, avg_score: -84.94, done: False, time: 93.18, episodes: 196
fc_dim: 64, eps_dec: 2e-05, lr: 0.00086, avg_score: -97.82, done: False, time: 113.92, episodes: 225
fc_dim: 64, eps_dec: 2e-05, lr: 0.00087, avg_score: -91.13, done: False, time: 92.58, episodes: 190
fc_dim: 64, eps_dec: 2e-05, lr: 0.00088, avg_score: -106.30, done: False, time: 73.27, episodes: 160
fc_dim: 64, eps_dec: 2e-05, lr: 0.00089, avg_score: -159.51, done: False, time: 13.57, episodes: 23
fc_dim: 64, eps_dec: 2e-05, lr: 0.00090, avg_score: -69.83, done: False, time: 130.53, episodes: 241
fc_dim: 64, eps_dec: 2e-05, lr: 0.00091, avg_score: -134.31, done: False, time: 61.14, episodes: 132
fc_dim: 64, eps_dec: 2e-05, lr: 0.00092, avg_score: -84.56, done: False, time: 108.95, episodes: 217
fc_dim: 64, eps_dec: 2e-05, lr: 0.00093, avg_score: -108.64, done: False, time: 71.08, episodes: 157
fc_dim: 64, eps_dec: 2e-05, lr: 0.00094, avg_score: -101.26, done: False, time: 104.48, episodes: 207
fc_dim: 64, eps_dec: 2e-05, lr: 0.00095, avg_score: -63.90, done: False, time: 138.66, episodes: 246
fc_dim: 64, eps_dec: 2e-05, lr: 0.00096, avg_score: -71.94, done: False, time: 148.11, episodes: 277
fc_dim: 64, eps_dec: 2e-05, lr: 0.00097, avg_score: -119.98, done: False, time: 133.35, episodes: 241
fc_dim: 64, eps_dec: 2e-05, lr: 0.00098, avg_score: -57.77, done: False, time: 201.31, episodes: 290
fc_dim: 64, eps_dec: 2e-05, lr: 0.00099, avg_score: -104.45, done: False, time: 99.88, episodes: 199
fc_dim: 64, eps_dec: 2e-05, lr: 0.00100, avg_score: -30.39, done: False, time: 172.23, episodes: 292

fc_dim: 64, eps_dec: 2e-05, lr: 0.00001, avg_score: -120.51, done: False, time: 237.12, episodes: 444
fc_dim: 64, eps_dec: 2e-05, lr: 0.00002, avg_score: -202.78, done: False, time: 61.72, episodes: 121
fc_dim: 64, eps_dec: 2e-05, lr: 0.00003, avg_score: -229.86, done: False, time: 150.79, episodes: 255
fc_dim: 64, eps_dec: 2e-05, lr: 0.00004, avg_score: -115.16, done: False, time: 183.64, episodes: 260
fc_dim: 64, eps_dec: 2e-05, lr: 0.00005, avg_score: -183.05, done: False, time: 113.40, episodes: 200
fc_dim: 64, eps_dec: 2e-05, lr: 0.00006, avg_score: -116.26, done: False, time: 160.82, episodes: 244
fc_dim: 64, eps_dec: 2e-05, lr: 0.00007, avg_score: -173.09, done: False, time: 149.64, episodes: 247
fc_dim: 64, eps_dec: 2e-05, lr: 0.00008, avg_score: -207.31, done: False, time: 42.21, episodes: 90
fc_dim: 64, eps_dec: 2e-05, lr: 0.00009, avg_score: -141.05, done: False, time: 73.42, episodes: 153
fc_dim: 64, eps_dec: 2e-05, lr: 0.00010, avg_score: -158.45, done: False, time: 100.62, episodes: 189
fc_dim: 64, eps_dec: 2e-05, lr: 0.00011, avg_score: -174.71, done: False, time: 78.33, episodes: 148
fc_dim: 64, eps_dec: 2e-05, lr: 0.00012, avg_score: -186.71, done: False, time: 36.45, episodes: 80
fc_dim: 64, eps_dec: 2e-05, lr: 0.00013, avg_score: -104.26, done: False, time: 95.25, episodes: 190
fc_dim: 64, eps_dec: 2e-05, lr: 0.00014, avg_score: -127.69, done: False, time: 107.55, episodes: 200
